Initial_Guess_rad_s,Root_Found_rad_s,Root_Found_Hz,Iterations,Final_Error,Function_Value
1.000000,10.234603,1.628888,7,1.775858e-007,8.270705e-009
3.000000,5.610271,0.892902,5,7.171220e-008,1.003251e-009
5.000000,5.610271,0.892902,4,2.481262e-008,3.475196e-010
7.000000,5.610271,0.892902,5,6.648067e-009,9.267188e-011
9.000000,10.234603,1.628888,7,4.378842e-010,1.978389e-011
11.000000,10.234603,1.628888,5,4.191289e-008,1.953398e-009
13.000000,10.234603,1.628888,6,3.950496e-007,1.840214e-008
15.000000,10.234603,1.628888,7,6.602273e-008,3.074832e-009
