Frequency_Hz,Experimental_Amplitude,Predicted_Amplitude,Absolute_Error,Relative_Error_Percent
0.500,0.850,1.732,0.882,103.82
1.000,2.770,2.460,0.310,11.19
1.500,4.165,3.032,1.133,27.19
2.000,3.210,3.450,0.240,7.48
2.500,2.115,3.712,1.597,75.53
3.000,1.485,3.820,2.335,157.24
